trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-56.875627931242285,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-139.30404505739276,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-124.53286492289848,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-155.36466644962292,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-46.523286101274365,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-187.49082426914822,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-115.06561256004579,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-83.72743293841091,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,1,-113.05797573120822,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,0,-268.6651855589356,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 5}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-99.54024603955469,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-165.57907503164677,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-206.393373833934,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-121.69531439728732,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-128.44913520883247,"{0: 18, 1: 2, 2: 6, 3: 4, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-100.51118549484141,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,7,-55.41178984606488,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-70.33141937890183,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-137.43714659701402,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",35,0,-126.26288981433599,"{0: 20, 1: 5, 2: 9, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-109.92897165155787,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-110.39912648957669,"{0: 15, 1: 3, 2: 3, 3: 4, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-97.46606529635551,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-131.05391420669275,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",35,6,-233.5122319777687,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 4}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-114.04104314420303,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-114.91185305093853,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-61.92413666536428,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-199.5296934891635,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-99.81104381479751,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-215.31589715522878,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,16,-56.38374394704042,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-94.52194969165971,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-193.8409378683745,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-198.49682875383178,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,6,-29.916054722874723,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-161.86271927996282,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-45.765324088125155,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-98.86007286070287,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-79.26488622234443,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
